iter	RMSE
0	14.02188609
1	13.13202308
2	12.34764649
3	11.61267036
4	10.92858347
5	10.36837231
6	9.905134021
7	9.480854789
8	9.020451938
9	8.677994317
10	8.294304233
11	7.98963148
12	7.757517827
13	7.47247097
14	7.239621819
15	7.049164833
16	6.864805416
17	6.695056624
18	6.55507438
19	6.432555653
20	6.315523261
21	6.230886269
22	6.160150363
23	6.10022831
24	6.039207209
25	5.995449864
26	5.945850714
27	5.88451442
28	5.842232855
29	5.789537842
30	5.758874951
31	5.713555494
32	5.677329232
33	5.658625054
34	5.634163781
35	5.613317236
36	5.583687433
37	5.555726092
38	5.536783014
39	5.507143535
40	5.496566831
41	5.482049468
42	5.456748163
43	5.435898732
44	5.420241481
45	5.399157257
46	5.386351676
47	5.376391863
48	5.362147146
49	5.350267191
50	5.341850292
51	5.328358024
52	5.31088538
53	5.297484999
54	5.286560644
55	5.280338503
56	5.275729063
57	5.267542131
58	5.26332139
59	5.252759712
60	5.242279667
61	5.230260777
62	5.221571854
63	5.208404385
64	5.196486483
65	5.18911446
66	5.182329674
67	5.17612934
68	5.170973885
69	5.164528047
70	5.159241987
71	5.150320511
72	5.137675725
73	5.133670557
74	5.128812763
75	5.120089138
76	5.115595072
77	5.109280308
78	5.105380162
79	5.100657253
80	5.0923372
81	5.08879739
82	5.082635947
83	5.076678289
84	5.071388929
85	5.066680904
86	5.06080112
87	5.050298697
88	5.046717023
89	5.042957739
90	5.0402821
91	5.036207341
92	5.029908086
93	5.022628103
94	5.012499853
95	5.001875896
96	4.989802075
97	4.978923881
98	4.973022406
99	4.964919169
