iter	Passed	Remaining
0	56	11323
1	57	5670
2	57	3783
3	57	2839
4	58	2275
5	58	1900
6	59	1629
7	59	1427
8	59	1268
9	60	1142
10	60	1039
11	60	952
12	61	879
13	61	816
14	61	761
15	62	713
16	62	671
17	62	633
18	62	599
19	63	569
20	63	542
21	63	517
22	64	494
23	64	473
24	64	454
25	65	436
26	65	419
27	65	404
28	66	389
29	66	376
30	66	363
31	67	351
32	67	340
33	67	330
34	67	320
35	68	310
36	68	302
37	68	293
38	69	285
39	69	277
40	69	270
41	70	263
42	70	256
43	70	250
44	70	244
45	71	238
46	71	232
47	71	227
48	72	222
49	72	217
50	72	212
51	72	207
52	73	203
53	73	198
54	73	194
55	74	190
56	74	186
57	74	183
58	75	179
59	75	176
60	75	172
61	75	169
62	76	165
63	76	162
64	76	159
65	77	156
66	77	153
67	77	150
68	77	147
69	78	145
70	78	142
71	78	140
72	79	137
73	79	135
74	79	132
75	80	130
76	80	128
77	80	126
78	80	123
79	81	121
80	81	119
81	81	117
82	81	115
83	82	113
84	82	111
85	82	109
86	83	108
87	83	106
88	83	104
89	84	102
90	84	100
91	84	99
92	84	97
93	85	96
94	85	94
95	85	92
96	86	91
97	86	89
98	86	88
99	86	86
100	87	85
101	87	84
102	87	82
103	88	81
104	88	79
105	88	78
106	88	77
107	89	75
108	89	74
109	89	73
110	89	72
111	90	70
112	90	69
113	90	68
114	91	67
115	91	66
116	91	65
117	91	63
118	92	62
119	92	61
120	92	60
121	93	59
122	93	58
123	93	57
124	94	56
125	94	55
126	94	54
127	94	53
128	95	52
129	95	51
130	95	50
131	96	49
132	96	48
133	96	47
134	97	46
135	97	45
136	97	44
137	97	44
138	98	43
139	98	42
140	98	41
141	99	40
142	99	39
143	99	38
144	100	37
145	100	37
146	100	36
147	100	35
148	101	34
149	101	33
150	101	33
151	102	32
152	102	31
153	102	30
154	103	29
155	103	29
156	103	28
157	103	27
158	104	26
159	104	26
160	104	25
161	105	24
162	105	23
163	105	23
164	105	22
165	106	21
166	106	21
167	106	20
168	107	19
169	107	18
170	107	18
171	108	17
172	108	16
173	108	16
174	108	15
175	109	14
176	109	14
177	109	13
178	110	12
179	110	12
180	110	11
181	111	10
182	111	10
183	111	9
184	111	9
185	112	8
186	112	7
187	112	7
188	112	6
189	113	5
190	113	5
191	113	4
192	114	4
193	114	3
194	114	2
195	115	2
196	115	1
197	115	1
198	115	0
199	116	0
