iter	Passed	Remaining
0	1	1129
1	2	1098
2	2	880
3	3	776
4	3	685
5	3	624
6	4	586
7	4	551
8	4	526
9	5	505
10	5	488
11	5	481
12	6	469
13	6	463
14	6	457
15	7	453
16	7	447
17	8	439
18	8	432
19	8	427
20	9	424
21	9	420
22	9	415
23	10	410
24	10	413
25	10	407
26	11	402
27	11	397
28	11	393
29	12	390
30	12	386
31	12	385
32	13	382
33	13	378
34	13	376
35	13	374
36	14	371
37	14	368
38	14	365
39	15	363
40	15	363
41	15	362
42	16	362
43	16	360
44	16	360
45	17	358
46	17	357
47	17	355
48	18	353
49	18	352
50	18	351
51	19	349
52	19	348
53	19	346
54	20	345
55	20	343
56	20	341
57	20	339
58	21	338
59	21	336
60	21	335
61	22	334
62	22	333
63	22	333
64	23	333
65	23	334
66	24	334
67	24	335
68	24	333
69	25	333
70	25	332
71	25	331
72	26	331
73	26	330
74	26	330
75	27	329
76	27	328
77	27	327
78	27	325
79	28	325
80	28	324
81	28	323
82	29	321
83	29	320
84	29	319
85	30	319
86	30	319
87	30	320
88	31	319
89	31	318
90	31	317
91	32	317
92	32	316
93	32	315
94	33	315
95	33	314
96	33	313
97	33	312
98	34	311
99	34	310
100	34	309
101	35	309
102	35	308
103	35	307
104	36	307
105	36	306
106	36	305
107	36	305
108	37	305
109	37	304
110	38	305
111	38	304
112	38	304
113	39	303
114	39	303
115	39	302
116	39	301
117	40	300
118	40	299
119	40	299
120	41	298
121	41	297
122	41	296
123	41	296
124	42	295
125	42	295
126	42	293
127	43	293
128	43	293
129	43	292
130	44	292
131	44	291
132	44	291
133	45	291
134	45	290
135	45	289
136	45	289
137	46	288
138	46	288
139	46	287
140	47	287
141	47	285
142	47	285
143	47	285
144	48	285
145	48	284
146	48	284
147	49	283
148	49	283
149	49	282
150	50	282
151	50	281
152	50	281
153	51	280
154	51	280
155	51	279
156	51	279
157	52	278
158	52	278
159	52	278
160	53	276
161	53	276
162	53	276
163	54	275
164	54	275
165	54	275
166	55	274
167	55	273
168	55	273
169	55	272
170	56	272
171	56	271
172	56	271
173	57	270
174	57	270
175	57	269
176	57	269
177	58	269
178	58	269
179	58	268
180	59	268
181	59	267
182	59	267
183	60	266
184	60	266
185	60	266
186	61	265
187	61	265
188	61	264
189	61	264
190	62	263
191	62	263
192	62	262
193	63	262
194	63	261
195	63	261
196	64	261
197	64	260
198	64	260
199	64	259
200	65	259
201	65	259
202	65	258
203	66	258
204	66	258
205	66	257
206	67	257
207	67	256
208	67	256
209	67	255
210	68	255
211	68	255
212	69	255
213	69	254
214	69	254
215	70	254
216	70	253
217	70	253
218	70	253
219	71	252
220	71	252
221	71	251
222	72	251
223	72	250
224	72	250
225	72	249
226	73	249
227	73	249
228	73	248
229	74	248
